variant,seed,10fold_cv,9010_multi,9010_binary,6040_multi
00_base_original,13,50.2,52.2,80.4,41.4
00_base_original,34,50.7,56.5,76.1,44.8
00_base_original,55,48.7,39.1,65.2,45.3
00_base_original,69,49.3,43.5,76.1,44.2
00_base_original,76,49.5,58.7,69.6,45.0
01_ovr_baseline,13,27.4,30.4,45.7,24.3
01_ovr_baseline,34,27.9,34.8,50.0,29.8
01_ovr_baseline,55,27.0,41.3,52.2,23.8
01_ovr_baseline,69,28.3,21.7,47.8,33.7
01_ovr_baseline,76,27.3,15.2,26.1,27.1
02_supervised_binning,13,24.3,28.3,43.5,24.3
02_supervised_binning,34,24.8,34.8,47.8,19.3
02_supervised_binning,55,25.2,32.6,47.8,23.8
02_supervised_binning,69,24.6,21.7,43.5,25.4
02_supervised_binning,76,24.4,17.4,28.3,22.3
02a_maxbins_4,13,27.2,28.3,45.7,28.7
02a_maxbins_4,34,28.5,39.1,52.2,28.7
02a_maxbins_4,55,26.3,32.6,43.5,30.4
02a_maxbins_4,69,26.1,21.7,43.5,27.1
02a_maxbins_4,76,26.7,19.6,30.4,27.1
02b_maxbins_5,13,24.8,23.9,43.5,26.0
02b_maxbins_5,34,26.3,34.8,47.8,24.3
02b_maxbins_5,55,25.2,30.4,45.7,25.4
02b_maxbins_5,69,25.4,21.7,43.5,27.1
02b_maxbins_5,76,25.1,17.4,28.3,24.6
02c_maxbins_6,13,24.3,28.3,43.5,24.3
02c_maxbins_6,34,24.8,34.8,47.8,19.3
02c_maxbins_6,55,25.2,32.6,47.8,23.8
02c_maxbins_6,69,24.6,21.7,43.5,25.4
02c_maxbins_6,76,24.4,17.4,28.3,22.3
02d_maxbins_7,13,24.6,23.9,43.5,25.4
02d_maxbins_7,34,24.6,28.3,43.5,20.4
02d_maxbins_7,55,25.0,30.4,47.8,23.8
02d_maxbins_7,69,23.7,21.7,43.5,22.1
02d_maxbins_7,76,24.2,13.0,23.9,22.1
03_correlation_filter,13,30.8,26.1,43.5,30.9
03_correlation_filter,34,31.6,37.0,50.0,29.3
03_correlation_filter,55,29.0,45.7,58.7,27.6
03_correlation_filter,69,31.4,19.6,41.3,32.0
03_correlation_filter,76,30.7,21.7,34.8,29.4
03a_corr_06,13,35.4,32.6,45.7,43.6
03a_corr_06,34,35.6,39.1,52.2,39.8
03a_corr_06,55,32.5,41.3,54.3,40.3
03a_corr_06,69,33.4,21.7,41.3,40.3
03a_corr_06,76,34.6,21.7,34.8,38.5
03b_corr_07,13,35.6,28.3,41.3,35.4
03b_corr_07,34,32.7,37.0,47.8,28.7
03b_corr_07,55,32.5,45.7,58.7,33.1
03b_corr_07,69,33.8,23.9,45.7,39.2
03b_corr_07,76,33.8,23.9,37.0,32.6
03c_corr_08,13,30.8,26.1,43.5,30.9
03c_corr_08,34,31.6,37.0,50.0,29.3
03c_corr_08,55,29.0,45.7,58.7,27.6
03c_corr_08,69,31.4,19.6,41.3,32.0
03c_corr_08,76,30.7,21.7,34.8,29.4
03d_corr_09,13,25.9,26.1,43.5,27.1
03d_corr_09,34,27.0,34.8,50.0,31.5
03d_corr_09,55,26.8,37.0,54.3,26.5
03d_corr_09,69,25.2,19.6,43.5,30.4
03d_corr_09,76,26.1,13.0,26.1,28.4
03e_corr_095,13,26.5,26.1,43.5,27.6
03e_corr_095,34,27.9,34.8,50.0,31.5
03e_corr_095,55,27.0,39.1,56.5,22.1
03e_corr_095,69,26.1,19.6,43.5,30.4
03e_corr_095,76,26.6,13.0,26.1,27.5
03f_fpc_10,13,31.4,30.4,45.7,31.5
03f_fpc_10,34,30.8,34.8,50.0,29.3
03f_fpc_10,55,28.3,34.8,52.2,28.2
03f_fpc_10,69,28.3,23.9,45.7,35.9
03f_fpc_10,76,29.5,15.2,28.3,30.5
03g_fpc_14,13,31.2,28.3,45.7,33.1
03g_fpc_14,34,31.2,39.1,50.0,30.4
03g_fpc_14,55,30.5,37.0,54.3,26.0
03g_fpc_14,69,31.2,23.9,45.7,34.8
03g_fpc_14,76,31.0,19.6,32.6,30.2
03h_fpc_18,13,30.8,26.1,43.5,30.9
03h_fpc_18,34,31.6,37.0,50.0,29.3
03h_fpc_18,55,29.0,45.7,58.7,27.6
03h_fpc_18,69,31.4,19.6,41.3,32.0
03h_fpc_18,76,30.7,21.7,34.8,29.4
03i_fpc_22,13,32.5,28.3,45.7,31.5
03i_fpc_22,34,31.4,34.8,47.8,33.7
03i_fpc_22,55,29.6,39.1,56.5,23.2
03i_fpc_22,69,30.8,21.7,45.7,30.9
03i_fpc_22,76,31.2,26.1,37.0,29.2
03j_fpc_26,13,31.2,23.9,41.3,32.6
03j_fpc_26,34,32.5,34.8,47.8,34.8
03j_fpc_26,55,30.1,43.5,63.0,22.7
03j_fpc_26,69,31.4,21.7,43.5,33.1
03j_fpc_26,76,31.8,21.7,34.8,30.1
04_dual_af,13,60.8,67.4,78.3,56.4
04_dual_af,34,62.6,63.0,76.1,53.6
04_dual_af,55,61.9,56.5,69.6,59.1
04_dual_af,69,62.4,47.8,63.0,55.8
04_dual_af,76,61.6,65.2,71.7,58.2
05_fisher_weighting,13,62.8,60.9,63.0,64.6
05_fisher_weighting,34,61.7,67.4,76.1,60.2
05_fisher_weighting,55,60.6,56.5,60.9,60.2
05_fisher_weighting,69,62.4,58.7,65.2,59.1
05_fisher_weighting,76,61.5,60.9,65.2,62.3
06_ratio_scoring,13,45.8,43.5,65.2,45.9
06_ratio_scoring,34,48.5,45.7,60.9,45.3
06_ratio_scoring,55,46.7,47.8,60.9,50.3
06_ratio_scoring,69,48.2,39.1,65.2,40.3
06_ratio_scoring,76,46.9,45.7,54.3,46.7
06a_eps_005,13,44.7,41.3,65.2,45.3
06a_eps_005,34,48.9,45.7,60.9,44.8
06a_eps_005,55,46.5,47.8,60.9,49.7
06a_eps_005,69,47.6,39.1,65.2,39.8
06a_eps_005,76,46.4,43.5,52.2,46.3
06b_eps_01,13,45.8,43.5,65.2,45.9
06b_eps_01,34,48.5,45.7,60.9,45.3
06b_eps_01,55,46.7,47.8,60.9,50.3
06b_eps_01,69,48.2,39.1,65.2,40.3
06b_eps_01,76,46.9,45.7,54.3,46.7
06c_eps_02,13,46.0,45.7,65.2,46.4
06c_eps_02,34,48.9,45.7,60.9,45.3
06c_eps_02,55,46.9,47.8,60.9,51.4
06c_eps_02,69,48.5,41.3,67.4,40.9
06c_eps_02,76,47.4,50.0,58.7,47.2
07_healthy_bar,13,65.0,65.2,82.6,65.2
07_healthy_bar,34,65.5,69.6,82.6,64.6
07_healthy_bar,55,65.9,65.2,73.9,67.4
07_healthy_bar,69,65.3,58.7,69.6,61.3
07_healthy_bar,76,63.5,76.1,78.3,66.3
07a_hweight_09,13,64.8,65.2,82.6,65.2
07a_hweight_09,34,65.3,69.6,82.6,64.6
07a_hweight_09,55,65.9,65.2,73.9,67.4
07a_hweight_09,69,65.3,58.7,69.6,61.9
07a_hweight_09,76,65.0,76.1,78.3,65.1
07a_hweight_10,13,64.8,65.2,82.6,65.2
07a_hweight_10,34,65.3,69.6,82.6,64.6
07a_hweight_10,55,65.9,65.2,73.9,67.4
07a_hweight_10,69,65.3,58.7,69.6,61.9
07a_hweight_10,76,65.0,76.1,78.3,65.1
07a_hweight_105,13,65.0,65.2,82.6,65.2
07a_hweight_105,34,65.5,69.6,82.6,64.6
07a_hweight_105,55,65.9,65.2,73.9,67.4
07a_hweight_105,69,65.3,58.7,69.6,61.3
07a_hweight_105,76,65.0,76.1,78.3,65.0
07d_shcut_15,13,65.7,65.2,82.6,65.7
07d_shcut_15,34,65.7,69.6,82.6,64.1
07d_shcut_15,55,66.6,67.4,73.9,68.0
07d_shcut_15,69,65.5,58.7,69.6,60.8
07d_shcut_15,76,65.5,76.1,76.1,65.1
07d_shcut_20,13,65.0,65.2,82.6,65.2
07d_shcut_20,34,65.5,69.6,82.6,64.6
07d_shcut_20,55,65.9,65.2,73.9,67.4
07d_shcut_20,69,65.3,58.7,69.6,61.3
07d_shcut_20,76,65.0,76.1,78.3,65.0
07d_shcut_25,13,65.0,65.2,82.6,65.7
07d_shcut_25,34,65.7,69.6,84.8,65.2
07d_shcut_25,55,66.2,65.2,73.9,67.4
07d_shcut_25,69,65.3,58.7,69.6,61.3
07d_shcut_25,76,65.2,76.1,78.3,65.1
07g_soffset_015,13,65.3,65.2,82.6,68.0
07g_soffset_015,34,65.5,69.6,80.4,63.0
07g_soffset_015,55,66.4,67.4,76.1,66.3
07g_soffset_015,69,66.4,58.7,67.4,61.3
07g_soffset_015,76,65.7,78.3,80.4,64.9
07g_soffset_03,13,65.0,65.2,82.6,65.2
07g_soffset_03,34,65.5,69.6,82.6,64.6
07g_soffset_03,55,65.9,65.2,73.9,67.4
07g_soffset_03,69,65.3,58.7,69.6,61.3
07g_soffset_03,76,65.0,76.1,78.3,65.0
07g_soffset_045,13,64.6,65.2,84.8,65.2
07g_soffset_045,34,64.8,69.6,82.6,63.5
