variant,10-fold CV,90/10 multiclass,90/10 binary,60/40 multiclass
00_base_original,50.7,60.9,80.4,55.8
01_ovr_baseline,28.5,41.3,54.3,33.7
02_supervised_binning,26.8,34.8,58.7,25.4
02a_maxbins_4,28.5,39.1,56.5,30.4
02b_maxbins_5,27.2,34.8,58.7,27.1
02c_maxbins_6,26.8,34.8,58.7,25.4
02d_maxbins_7,25.0,30.4,47.8,25.4
03_correlation_filter,31.6,45.7,58.7,32.0
03a_corr_06,35.6,52.2,71.7,43.6
03b_corr_07,35.6,45.7,58.7,39.2
03c_corr_08,31.6,45.7,58.7,32.0
03d_corr_09,27.7,37.0,58.7,31.5
03e_corr_095,27.9,39.1,58.7,31.5
03f_fpc_10,31.4,34.8,58.7,35.9
03g_fpc_14,31.2,39.1,58.7,34.8
03h_fpc_18,31.6,45.7,58.7,32.0
03i_fpc_22,32.5,39.1,60.9,33.7
03j_fpc_26,33.0,43.5,63.0,34.8
04_dual_af,62.6,69.6,78.3,69.6
05_fisher_weighting,63.3,67.4,76.1,64.6
06_ratio_scoring,48.5,56.5,71.7,50.3
06a_eps_005,48.9,52.2,69.6,49.7
06b_eps_01,48.5,56.5,71.7,50.3
06c_eps_02,49.3,56.5,71.7,51.4
07_healthy_bar,67.0,76.1,82.6,67.4
07a_hweight_09,67.0,76.1,82.6,67.4
07a_hweight_10,67.0,76.1,82.6,67.4
07a_hweight_105,67.0,76.1,82.6,67.4
07d_shcut_15,66.8,76.1,82.6,68.0
07d_shcut_20,67.0,76.1,82.6,67.4
07d_shcut_25,67.0,76.1,84.8,67.4
07g_soffset_015,67.5,78.3,82.6,68.0
07g_soffset_03,67.0,76.1,82.6,67.4
07g_soffset_045,66.8,73.9,84.8,68.0
07j_hcap_30,67.3,78.3,82.6,67.4
07j_hcap_50,67.0,76.1,82.6,67.4
07j_hcap_70,67.0,76.1,82.6,67.4
08_rare_class_params,28.3,41.3,54.3,33.7
08a_ascale_03,28.3,41.3,54.3,33.7
08a_ascale_05,28.3,41.3,54.3,33.7
08a_ascale_07,28.3,41.3,54.3,33.7
08d_minsup_1,28.3,41.3,54.3,33.7
08d_minsup_2,28.3,41.3,54.3,33.7
08d_minsup_3,28.5,41.3,54.3,33.7
08g_confsup_3,28.3,41.3,54.3,33.7
08g_confsup_5,28.3,41.3,54.3,33.7
08g_confsup_8,28.3,41.3,54.3,33.7
09_remove_classes,25.5,45.2,59.5,32.9
10_laplace,28.1,41.3,54.3,33.7
10a_laplace_05,28.5,41.3,54.3,33.7
10b_laplace_10,28.1,41.3,54.3,33.7
10c_laplace_20,27.4,41.3,54.3,34.3
11_class_thresholds,54.2,76.1,76.1,56.9
99_final,86.8,92.9,97.6,86.2
