feature_idx,feature_name,male_imp_mean,male_imp_std,female_imp_mean,female_imp_std,abs_difference,p_raw,q_fdr,significant
14,Heart_rate,0.010000,0.005287,0.043080,0.012700,0.033080,0.000000,0.000000,True
249,V4_JJ_amp,0.018571,0.007970,-0.001178,0.002491,0.019749,0.000000,0.000000,True
227,V1_QRSA,-0.001746,0.002944,0.017138,0.011170,0.018884,0.000000,0.000000,True
169,DII_JJ_amp,0.003386,0.003046,-0.006830,0.001745,0.010216,0.000000,0.000000,True
229,V2_JJ_amp,-0.002487,0.002422,0.007337,0.003725,0.009824,0.000000,0.000000,True
6,QT_int,-0.002513,0.002050,0.006649,0.003293,0.009162,0.000000,0.000000,True
90,V1_Rp_wid,0.014550,0.004463,0.005761,0.004687,0.008789,0.000000,0.000000,True
259,V5_JJ_amp,0.010026,0.005809,0.001812,0.005047,0.008215,0.000000,0.000003,True
0,Age,-0.000529,0.001605,0.006558,0.002572,0.007087,0.000000,0.000000,True
275,V6_P_amp,-0.000265,0.001269,0.006395,0.002661,0.006659,0.000000,0.000000,True
113,V3_S_wid,-0.001720,0.003899,0.004764,0.004088,0.006484,0.000000,0.000001,True
246,V3_T_amp,-0.002460,0.004043,0.003895,0.004928,0.006355,0.000002,0.000011,True
65,AVL_S_wid,0.006296,0.003963,0.000344,0.001073,0.005952,0.000000,0.000000,True
166,DI_T_amp,-0.001058,0.004411,-0.006938,0.003645,0.005880,0.000001,0.000007,True
261,V5_R_amp,0.005635,0.002570,0.000453,0.001819,0.005182,0.000000,0.000000,True
262,V5_S_amp,0.000741,0.001245,-0.004293,0.003666,0.005034,0.000000,0.000000,True
278,V6_QRSTA,-0.005529,0.006862,-0.000543,0.004521,0.004986,0.001964,0.007278,True
252,V4_S_amp,-0.000185,0.000837,0.004692,0.005605,0.004877,0.000064,0.000318,True
189,AVR_JJ_amp,0.002037,0.001354,-0.002808,0.002129,0.004845,0.000000,0.000000,True
256,V4_T_amp,-0.004868,0.005319,-0.000054,0.003620,0.004813,0.000186,0.000879,True
238,V2_QRSTA,0.003254,0.001802,-0.001558,0.001457,0.004812,0.000000,0.000000,True
89,V1_S_wid,-0.003175,0.007540,0.001612,0.001566,0.004787,0.002125,0.007771,True
271,V6_R_amp,0.001190,0.001963,-0.003370,0.002604,0.004560,0.000000,0.000000,True
2,Height,0.002381,0.001390,-0.002047,0.002235,0.004428,0.000000,0.000000,True
136,V5_R_wid,0.001005,0.000499,0.005236,0.002705,0.004230,0.000000,0.000000,True
248,V3_QRSTA,-0.000476,0.004034,0.003750,0.005368,0.004226,0.001318,0.004951,True
258,V4_QRSTA,0.000132,0.003368,0.004275,0.003680,0.004143,0.000037,0.000195,True
64,AVL_R_wid,-0.001878,0.001055,0.002210,0.003508,0.004088,0.000001,0.000007,True
167,DI_QRSA,0.001481,0.001699,-0.002355,0.003506,0.003837,0.000004,0.000026,True
216,AVF_T_amp,0.001085,0.001168,-0.002699,0.001854,0.003784,0.000000,0.000000,True
196,AVR_T_amp,-0.000476,0.001993,0.003297,0.009921,0.003773,0.053335,0.131215,False
171,DII_R_amp,-0.001958,0.003072,0.001685,0.003455,0.003642,0.000082,0.000399,True
266,V5_T_amp,-0.006402,0.007391,-0.002808,0.008438,0.003594,0.089869,0.211724,False
208,AVL_QRSTA,-0.003915,0.002695,-0.000344,0.002864,0.003571,0.000008,0.000053,True
231,V2_R_amp,-0.000767,0.002497,-0.004275,0.005431,0.003508,0.002967,0.010184,True
175,DII_P_amp,0.001640,0.001613,-0.001830,0.001342,0.003470,0.000000,0.000000,True
44,DIII_N_defl,0.000053,0.001889,-0.003406,0.003728,0.003459,0.000059,0.000302,True
165,DI_P_amp,-0.000582,0.001211,-0.003913,0.001821,0.003331,0.000000,0.000000,True
269,V6_JJ_amp,0.002090,0.002259,-0.001196,0.003950,0.003286,0.000322,0.001442,True
152,V6_N_defl,0.000212,0.001063,0.003478,0.001844,0.003267,0.000000,0.000000,True
187,DIII_QRSA,0.001085,0.000780,0.004203,0.001550,0.003118,0.000000,0.000000,True
41,DIII_S_wid,0.000053,0.001245,0.003116,0.002339,0.003063,0.000000,0.000001,True
3,Weight,-0.000503,0.001238,-0.003514,0.002544,0.003012,0.000001,0.000007,True
80,AVF_N_defl,0.000635,0.003210,0.003623,0.003301,0.002988,0.000916,0.003536,True
211,AVF_R_amp,0.004233,0.003758,0.001286,0.002299,0.002947,0.000748,0.003012,True
27,DII_Q_wid,0.002407,0.003001,-0.000525,0.000749,0.002933,0.000014,0.000079,True
195,AVR_P_amp,0.001138,0.001596,-0.001793,0.002336,0.002931,0.000001,0.000007,True
218,AVF_QRSTA,0.001455,0.002130,-0.001467,0.002554,0.002922,0.000015,0.000085,True
232,V2_S_amp,-0.000450,0.005167,-0.003370,0.003467,0.002920,0.014662,0.042457,True
149,V6_S_wid,0.000635,0.000879,-0.002283,0.002995,0.002918,0.000016,0.000085,True
221,V1_R_amp,0.001852,0.001333,-0.001051,0.002541,0.002903,0.000002,0.000015,True
205,AVL_P_amp,0.000661,0.000712,0.003478,0.002270,0.002817,0.000000,0.000002,True
