feature_idx,feature_name,importance_male,importance_female,delta,p_value,q_value_bh,significant
227,V1_QRSA,-0.00457516339869282,0.020105820105820085,-0.024680983504512907,4.3751060201731685e-12,1.1057086123710372e-10,True
249,V4_JJ_amp,0.01568627450980391,-0.008465608465608494,0.024151882975412403,7.494935766774202e-17,6.945307143877428e-15,True
210,AVF_Q_amp,-0.020261437908496775,0.0,-0.020261437908496775,2.2916937296885438e-12,6.370908568534152e-11,True
170,DII_Q_amp,-0.019607843137254943,0.0,-0.019607843137254943,8.329793980692466e-13,2.5729808073694507e-11,True
259,V5_JJ_amp,0.011764705882352929,-0.00582010582010584,0.01758481170245877,2.1611504373752192e-08,3.3377767866128387e-07,True
278,V6_QRSTA,0.006535947712418296,-0.010582010582010614,0.01711795829442891,1.1618718159904788e-08,2.018752280283457e-07,True
180,DIII_Q_amp,-0.01699346405228762,0.0,-0.01699346405228762,3.217751434294321e-14,1.2779069981911733e-12,True
90,V1_Rp_wid,-0.0026143790849673257,0.014285714285714235,-0.01690009337068156,2.1324267475680637e-15,1.1856292716478435e-13,True
223,V1_Rp_amp,-0.0013071895424836648,0.014814814814814762,-0.016122004357298426,4.2498694566843757e-14,1.4768296361978205e-12,True
75,AVF_Q_wid,-0.015686274509803956,0.0,-0.015686274509803956,1.1938472333990035e-11,2.7657460907076915e-10,True
198,AVR_QRSTA,0.0,-0.014814814814814866,0.014814814814814866,1.3417167916006144e-18,3.729972680649708e-16,True
178,DII_QRSTA,0.01241830065359476,-0.0021164021164021235,0.014534702769996884,6.483218303793867e-08,9.485972044498394e-07,True
100,V2_R_wid,0.0,-0.014285714285714336,0.014285714285714336,4.879021789982124e-16,3.3909201440375765e-14,True
56,AVR_N_defl,-0.0013071895424836629,-0.015343915343915398,0.014036725801431735,1.497811534078941e-17,2.0819580323697283e-15,True
89,V1_S_wid,-0.015032679738562123,-0.0010582010582010617,-0.013974478680361061,1.0955789207933208e-05,0.00010502446206225627,True
239,V3_JJ_amp,0.0,-0.013756613756613804,0.013756613756613804,3.217751434294309e-14,1.2779069981911733e-12,True
165,DI_P_amp,0.0,-0.013756613756613793,0.013756613756613793,3.695153217886317e-09,7.337518532659972e-08,True
196,AVR_T_amp,0.008496732026143785,-0.0047619047619047745,0.01325863678804856,7.194751380088884e-07,9.52448039840338e-06,True
0,Age,-0.0026143790849673257,-0.015343915343915375,0.01272953625894805,1.1846027168815247e-06,1.3172782211722554e-05,True
276,V6_T_amp,-0.014379084967320294,-0.0021164021164021235,-0.01226268285091817,0.00021599658033315863,0.0015011762333154524,True
160,DI_Q_amp,0.0,-0.012169312169312212,0.012169312169312212,1.1381182201737499e-10,2.433822040063865e-09,True
