feature_idx,feature_name,b_min,b_max,mean,std,n_valid,range_width
0,Age,9.000000,80.000000,47.070588,13.925643,85,71.000000
2,Height,132.000000,186.000000,171.600000,7.712390,85,54.000000
3,Weight,18.000000,105.000000,75.929412,13.911102,85,87.000000
4,QRS_dur,71.000000,113.000000,90.200000,7.840372,85,42.000000
5,PR_int,0.000000,292.000000,159.070588,42.341803,85,292.000000
6,QT_int,258.000000,439.000000,365.035294,26.368473,85,181.000000
7,T_int,111.000000,254.000000,170.094118,24.812930,85,143.000000
8,P_int,0.000000,175.000000,94.741176,23.429811,85,175.000000
9,QRS_angle,-50.000000,119.000000,33.176471,38.420969,85,169.000000
10,T_angle,-26.000000,150.000000,43.904762,36.267952,84,176.000000
11,P_angle,-14.000000,107.000000,49.123457,22.267904,81,121.000000
12,QRST_angle,-32.000000,91.000000,34.847059,28.401671,85,123.000000
13,J_angle,-164.000000,128.000000,-15.500000,108.080988,6,292.000000
14,Heart_rate,55.000000,92.000000,71.717647,8.819097,85,37.000000
15,DI_Q_wid,0.000000,28.000000,5.741176,9.450564,85,28.000000
16,DI_R_wid,32.000000,136.000000,51.576471,16.699285,85,104.000000
17,DI_S_wid,0.000000,56.000000,20.329412,18.723164,85,56.000000
18,DI_Rp_wid,0.000000,0.000000,0.000000,0.000000,85,0.000000
19,DI_Sp_wid,0.000000,0.000000,0.000000,0.000000,85,0.000000
20,DI_N_defl,16.000000,56.000000,29.411765,8.959292,85,40.000000
21,DI_Rag_R,0.000000,0.000000,0.000000,0.000000,85,0.000000
22,DI_Diph_R,0.000000,1.000000,0.011765,0.108465,85,1.000000
23,DI_Rag_P,0.000000,1.000000,0.023529,0.152477,85,1.000000
24,DI_Diph_P,0.000000,0.000000,0.000000,0.000000,85,0.000000
25,DI_Rag_T,0.000000,0.000000,0.000000,0.000000,85,0.000000
26,DI_Diph_T,0.000000,0.000000,0.000000,0.000000,85,0.000000
27,DII_Q_wid,0.000000,40.000000,5.505882,9.970938,85,40.000000
28,DII_R_wid,16.000000,116.000000,54.635294,17.528784,85,100.000000
29,DII_S_wid,0.000000,64.000000,18.447059,18.507081,85,64.000000
30,DII_Rp_wid,0.000000,28.000000,0.988235,4.573459,85,28.000000
