=====================================================================================
  RESOURCE ANALYSIS: CDS-only
=====================================================================================
  Timestamp:            2026-06-03 23:32:26
  Users evaluated:      452

-------------------------------------------------------------------------------------
  CLASSIFICATION METRICS
-------------------------------------------------------------------------------------
  Accuracy:             74.56%
  Sensitivity:          80.19%
  Specificity:          69.80%
  Precision (PPV):      69.17%
  Neg Pred Value:       80.66%
  F1 Score:             74.27%

-------------------------------------------------------------------------------------
  TIME METRICS
-------------------------------------------------------------------------------------
  Total wall-clock:     976.3s
  Avg per user:         2130.9ms
  Avg CDS train:        2114.8ms
  Avg CDS predict:      16.1ms
  Avg ML train:         0.0ms
  Avg ML predict:       0.0ms

-------------------------------------------------------------------------------------
  MEMORY METRICS
-------------------------------------------------------------------------------------
  Peak memory:          20.55 MB
  Avg memory per fold:  17.65 MB

-------------------------------------------------------------------------------------
  COMPUTATIONAL COST (multiplications)
-------------------------------------------------------------------------------------
  Total multiplications:             418,728
  Avg per user:                          926
  CDS total:                         418,728
  ML training total:                       0
  ML inference total:                      0

-------------------------------------------------------------------------------------
  PER-CLASS BREAKDOWN
-------------------------------------------------------------------------------------
  Class   1 (Healthy     ): 171/245 (69.8%)
  Class   2 (Disease-2   ): 33/44 (75.0%)
  Class   3 (Disease-3   ): 15/15 (100.0%)
  Class   4 (Disease-4   ): 13/15 (86.7%)
  Class   5 (Disease-5   ): 12/13 (92.3%)
  Class   6 (Disease-6   ): 18/25 (72.0%)
  Class   7 (Disease-7   ): 2/3 (66.7%)
  Class   8 (Disease-8   ): 2/2 (100.0%)
  Class   9 (Disease-9   ): 9/9 (100.0%)
  Class  10 (Disease-10  ): 39/50 (78.0%)
  Class  14 (Disease-14  ): 4/4 (100.0%)
  Class  15 (Disease-15  ): 5/5 (100.0%)
  Class  16 (Disease-16  ): 14/22 (63.6%)

-------------------------------------------------------------------------------------
  MISCLASSIFICATION TRACE (115 errors)
-------------------------------------------------------------------------------------
    User    True    Pred  Source                   Time_ms   Mem_MB         Mults
  ──────  ──────  ──────  ──────────────────────  ────────  ───────  ────────────
       8       H      D2  CDS-ALARM                   1697    17.54           504
       9     D10       H  CDS-SCREENING               1784    17.73         1,254
      12     D10       H  CDS-SCREENING               1788    17.71         1,239
      21       H      D2  CDS-ALARM                   1748    17.73           834
      34      D4       H  CDS-SCREENING               1696    17.72         1,254
      37     D10       H  CDS-HEALTHY                 1748    17.82         1,269
      38       H      D2  CDS-ALARM                   1673    17.54           474
      43       H      D2  CDS-ALARM                   1701    17.42           309
      50       H      D2  CDS-ALARM                   1678    17.43           354
      54     D16       H  CDS-SCREENING               1683    17.72         1,239
      55      D6       H  CDS-SCREENING               1691    17.72         1,254
      59       H      D2  CDS-ALARM                   1698    17.70         1,089
      61      D5       H  CDS-HEALTHY                 1694    17.72         1,269
      68      D6       H  CDS-HEALTHY                 1740    17.73         1,269
      71     D16       H  CDS-HEALTHY                 1701    17.72         1,269
      72       H      D2  CDS-ALARM                   1744    17.71         1,134
      77      D2       H  CDS-HEALTHY                 1688    17.72         1,269
      82      D2       H  CDS-SCREENING               1752    17.72         1,254
      90       H      D3  CDS-ALARM                   1771    17.69         1,014
      98       H      D2  CDS-ALARM                   1681    17.59           594
      99       H      D2  CDS-ALARM                   1683    17.49           399
     100      D4       H  CDS-SCREENING               1749    17.72         1,254
     101       H      D2  CDS-ALARM                   1690    17.65           699
     102       H      D2  CDS-ALARM                   1727    17.52           294
     103       H      D2  CDS-ALARM                   1702    17.42           324
     104      D6       H  CDS-HEALTHY                 1763    17.72         1,254
     109       H      D2  CDS-ALARM                   1722    17.63           384
     110       H      D2  CDS-ALARM                   1695    17.71         1,089
     113       H      D2  CDS-ALARM                   1676    17.64           684
     114      D6       H  CDS-HEALTHY                 1706    17.71         1,269
     126       H      D2  CDS-ALARM                   1699    17.66           729
     129       H      D2  CDS-ALARM                   1713    17.62           624
     133       H      D2  CDS-ALARM                   1693    17.56           534
     134     D10       H  CDS-HEALTHY                 1705    17.72         1,269
     136       H      D2  CDS-ALARM                   1883    17.77         1,134
     137     D10       H  CDS-SCREENING               1736    17.70         1,239
     138       H      D6  CDS-ALARM                   1728    17.73         1,269
     144     D10       H  CDS-HEALTHY                 1780    17.88         1,269
     152       H      D2  CDS-ALARM                   1691    17.70         1,074
     154     D16       H  CDS-HEALTHY                 1706    17.72         1,269
     157      D2       H  CDS-SCREENING               1923    17.72         1,239
     158       H      D2  CDS-ALARM                   1711    17.61           654
     160       H      D2  CDS-ALARM                   1705    17.41           294
     162       H      D2  CDS-ALARM                   1692    17.70         1,059
     170       H      D2  CDS-ALARM                   1696    17.72         1,194
     171       H      D2  CDS-ALARM                   1801    17.61           624
     172       H      D2  CDS-ALARM                   1953    17.71         1,149
     178       H      D2  CDS-ALARM                   2395    17.72         1,104
     179      D2       H  CDS-SCREENING               2396    17.73         1,254
     181     D16       H  CDS-HEALTHY                 2584    17.72         1,254
     182       H      D2  CDS-ALARM                   2133    17.70         1,089
     186      D2       H  CDS-SCREENING               2974    17.73         1,254
     190       H      D2  CDS-ALARM                   2919    17.65           579
     199       H      D2  CDS-ALARM                   2948    17.64           684
     200      D2       H  CDS-SCREENING               3161    17.72         1,239
     202       H      D2  CDS-ALARM                   2928    17.60           624
     208       H      D2  CDS-ALARM                   2317    17.61           624
     211       H      D2  CDS-ALARM                   1748    17.51           444
     220       H      D2  CDS-ALARM                   1916    17.76           579
     221       H      D2  CDS-ALARM                   1732    17.73         1,209
     223       H      D2  CDS-ALARM                   1867    17.61           609
     228       H      D2  CDS-ALARM                   1734    17.72         1,209
     233       H      D2  CDS-ALARM                   1866    17.72         1,074
     234       H      D2  CDS-ALARM                   2041    17.58           504
     239       H      D2  CDS-ALARM                   1865    17.68           909
     241       H      D2  CDS-ALARM                   1738    17.48           414
     242       H      D2  CDS-ALARM                   1753    17.67           909
     246       H      D2  CDS-ALARM                   1728    17.42           294
     247       H      D2  CDS-ALARM                   1873    17.71         1,089
     250     D10       H  CDS-HEALTHY                 1820    17.72         1,254
     254       H      D2  CDS-ALARM                   1710    17.58           594
     255       H      D2  CDS-ALARM                   1698    17.42           324
     261     D16       H  CDS-HEALTHY                 1722    17.71         1,269
     268       H      D2  CDS-ALARM                   1716    17.68           804
     271       H      D2  CDS-ALARM                   1809    17.61           609
     275      D2       H  CDS-SCREENING               1767    17.76         1,254
     278     D10       H  CDS-SCREENING               1754    17.72         1,254
