=====================================================================================
  RESOURCE ANALYSIS: Stacked(CDS->RNN)
=====================================================================================
  Timestamp:            2026-06-04 03:32:59
  Users evaluated:      452

-------------------------------------------------------------------------------------
  CLASSIFICATION METRICS
-------------------------------------------------------------------------------------
  Accuracy:             40.04%
  Sensitivity:          64.25%
  Specificity:          19.59%
  Precision (PPV):      40.30%
  Neg Pred Value:       39.34%
  F1 Score:             49.53%

-------------------------------------------------------------------------------------
  TIME METRICS
-------------------------------------------------------------------------------------
  Total wall-clock:     3023.0s
  Avg per user:         6658.2ms
  Avg CDS train:        1723.2ms
  Avg CDS predict:      15.2ms
  Avg ML train:         4788.6ms
  Avg ML predict:       13.0ms

-------------------------------------------------------------------------------------
  MEMORY METRICS
-------------------------------------------------------------------------------------
  Peak memory:          23.85 MB
  Avg memory per fold:  23.60 MB

-------------------------------------------------------------------------------------
  COMPUTATIONAL COST (multiplications)
-------------------------------------------------------------------------------------
  Total multiplications:      88,549,561,896
  Avg per user:                  195,906,110
  CDS total:                         418,728
  ML training total:          88,379,579,436
  ML inference total:            169,563,732

-------------------------------------------------------------------------------------
  PER-CLASS BREAKDOWN
-------------------------------------------------------------------------------------
  Class   1 (Healthy     ): 48/245 (19.6%)
  Class   2 (Disease-2   ): 26/44 (59.1%)
  Class   3 (Disease-3   ): 5/15 (33.3%)
  Class   4 (Disease-4   ): 8/15 (53.3%)
  Class   5 (Disease-5   ): 8/13 (61.5%)
  Class   6 (Disease-6   ): 17/25 (68.0%)
  Class   7 (Disease-7   ): 3/3 (100.0%)
  Class   8 (Disease-8   ): 1/2 (50.0%)
  Class   9 (Disease-9   ): 4/9 (44.4%)
  Class  10 (Disease-10  ): 39/50 (78.0%)
  Class  14 (Disease-14  ): 2/4 (50.0%)
  Class  15 (Disease-15  ): 3/5 (60.0%)
  Class  16 (Disease-16  ): 17/22 (77.3%)

-------------------------------------------------------------------------------------
  MISCLASSIFICATION TRACE (271 errors)
-------------------------------------------------------------------------------------
    User    True    Pred  Source                   Time_ms   Mem_MB         Mults
  ──────  ──────  ──────  ──────────────────────  ────────  ───────  ────────────
       3       H     D16  STACKED-RNN                 6589    23.67   195,906,438
       5     D14       H  STACKED-RNN                 6636    23.34   195,905,523
       6       H     D16  STACKED-RNN                 6678    23.67   195,906,453
       7       H     D16  STACKED-RNN                 7113    23.67   195,906,438
      10      D3       H  STACKED-RNN                 6658    23.36   195,905,508
      11       H     D16  STACKED-RNN                 6857    23.66   195,906,453
      14       H     D16  STACKED-RNN                 6625    23.68   195,906,453
      15       H     D16  STACKED-RNN                 6613    23.67   195,906,438
      16     D10       H  STACKED-RNN                 6583    23.47   195,905,643
      17       H     D16  STACKED-RNN                 7060    23.68   195,906,453
      18       H     D16  STACKED-RNN                 6639    23.67   195,906,438
      19       H     D16  STACKED-RNN                 6903    23.67   195,906,438
      20       H     D16  STACKED-RNN                 6518    23.67   195,906,453
      21       H     D16  STACKED-RNN                 6648    23.63   195,906,018
      22       H     D16  STACKED-RNN                 6552    23.67   195,906,453
      23       H     D16  STACKED-RNN                 6608    23.67   195,906,438
      24       H     D16  STACKED-RNN                 6534    23.67   195,906,453
      26     D14       H  STACKED-RNN                 6505    23.41   195,905,568
      30      D6       H  STACKED-RNN                 7390    23.62   195,906,198
      31       H     D16  STACKED-RNN                 6583    23.67   195,906,438
      32       H     D16  STACKED-RNN                 6578    23.67   195,906,438
      33       H     D16  STACKED-RNN                 6635    23.68   195,906,438
      35       H     D16  STACKED-RNN                 6637    23.67   195,906,453
      36       H     D16  STACKED-RNN                 6618    23.68   195,906,438
      39      D6       H  STACKED-RNN                 6496    23.42   195,905,613
      40       H     D16  STACKED-RNN                 6603    23.67   195,906,453
      42       H     D16  STACKED-RNN                 6581    23.68   195,906,453
      44       H     D16  STACKED-RNN                 6648    23.67   195,906,453
      45      D4       H  STACKED-RNN                 6833    23.64   195,906,183
      47       H     D16  STACKED-RNN                 6628    23.67   195,906,453
      48      D6       H  STACKED-RNN                 6514    23.64   195,906,213
      49       H     D16  STACKED-RNN                 6614    23.67   195,906,453
      51       H     D16  STACKED-RNN                 6622    23.67   195,906,453
      53     D16       H  STACKED-RNN                 6627    23.34   195,905,478
      56       H     D16  STACKED-RNN                 6614    23.67   195,906,468
      57       H     D16  STACKED-RNN                 6769    23.67   195,906,453
      59       H     D16  STACKED-RNN                 6532    23.65   195,906,273
      60      D5       H  STACKED-RNN                 6534    23.57   195,905,883
      62       H     D16  STACKED-RNN                 6503    23.67   195,906,453
      63       H     D16  STACKED-RNN                 6597    23.67   195,906,453
      64       H     D16  STACKED-RNN                 6499    23.67   195,906,438
      67       H     D16  STACKED-RNN                 6543    23.67   195,906,453
      68      D6       H  STACKED-RNN                 6568    23.67   195,906,453
      69       H     D16  STACKED-RNN                 6642    23.73   195,906,438
      70      D6       H  STACKED-RNN                 6578    23.64   195,906,213
      72       H     D16  STACKED-RNN                 6650    23.66   195,906,318
      73       H     D16  STACKED-RNN                 6634    23.77   195,906,453
      74       H     D16  STACKED-RNN                 6638    23.68   195,906,453
      76      D3       H  STACKED-RNN                 6584    23.36   195,905,523
      78       H     D16  STACKED-RNN                 6637    23.68   195,906,438
      79       H     D16  STACKED-RNN                 6513    23.67   195,906,438
      80       H     D16  STACKED-RNN                 6518    23.67   195,906,453
      81       H     D16  STACKED-RNN                 6680    23.83   195,906,423
      84      D6       H  STACKED-RNN                 6687    23.62   195,906,018
      86      D2       H  STACKED-RNN                 6701    23.34   195,905,493
      89      D9       H  STACKED-RNN                 6643    23.58   195,905,583
      90       H     D16  STACKED-RNN                 6764    23.64   195,906,198
      91      D4       H  STACKED-RNN                 6495    23.66   195,906,348
      95       H     D16  STACKED-RNN                 6582    23.68   195,906,438
      96     D10       H  STACKED-RNN                 6681    23.61   195,905,973
      97       H     D16  STACKED-RNN                 6556    23.67   195,906,453
      99       H      D2  STACKED-RNN                 6788    23.44   195,905,583
     101       H      D4  STACKED-RNN                 6915    23.60   195,905,883
     103       H      D6  STACKED-RNN                 6568    23.38   195,905,508
     105      D4       H  STACKED-RNN                 6619    23.70   195,905,778
     107       H     D16  STACKED-RNN                 6548    23.68   195,906,438
     108      D2       H  STACKED-RNN                 6512    23.32   195,905,478
     109       H     D16  STACKED-RNN                 6626    23.58   195,905,568
     110       H     D16  STACKED-RNN                 6532    23.67   195,906,273
     111       H     D16  STACKED-RNN                 6601    23.67   195,906,453
     112       H     D16  STACKED-RNN                 6587    23.68   195,906,468
     113       H     D16  STACKED-RNN                 6508    23.59   195,905,868
     117       H     D16  STACKED-RNN                 6676    23.68   195,906,453
     118       H     D16  STACKED-RNN                 7801    23.66   195,906,453
     119       H     D16  STACKED-RNN                 6921    23.67   195,906,438
     120       H     D16  STACKED-RNN                 6838    23.67   195,906,453
     121       H     D16  STACKED-RNN                 6623    23.67   195,906,438
     122       H     D16  STACKED-RNN                 6510    23.67   195,906,438
     123       H     D16  STACKED-RNN                 6543    23.68   195,906,438
     124       H     D16  STACKED-RNN                 6658    23.67   195,906,453
     125       H     D16  STACKED-RNN                 6524    23.67   195,906,453
     128       H     D16  STACKED-RNN                 6585    23.69   195,906,438
     129       H     D16  STACKED-RNN                 6519    23.57   195,905,808
     130       H     D16  STACKED-RNN                 6636    23.68   195,906,438
     131       H     D16  STACKED-RNN                 6750    23.67   195,906,438
     135       H     D16  STACKED-RNN                 6595    23.67   195,906,453
