class,name,female_wrong,female_total,female_error_pct,male_wrong,male_total,male_error_pct
2,Coronary Artery Disease,10,26,38.46153846153847,1,18,5.555555555555555
3,Old Anterior MI,0,0,,0,15,0.0
4,Old Inferior MI,1,4,25.0,1,11,9.090909090909092
5,Sinus Tachycardia,1,9,11.11111111111111,0,4,0.0
6,Sinus Bradycardia,0,11,0.0,3,14,21.428571428571427
7,PVC,0,0,,1,3,33.33333333333333
8,Supraventricular PC,0,0,,0,2,0.0
9,Left Bundle Branch Block,0,5,0.0,0,4,0.0
10,Right Bundle Branch Block,5,22,22.727272727272727,3,28,10.714285714285714
14,LV Hypertrophy,0,1,0.0,0,3,0.0
15,Atrial Fibrillation,0,4,0.0,0,1,0.0
16,Others,2,7,28.57142857142857,4,15,26.666666666666668
