=====================================================================================
  RESOURCE ANALYSIS: AFGated(ANN)
=====================================================================================
  Timestamp:            2026-06-04 14:47:18
  Users evaluated:      452

-------------------------------------------------------------------------------------
  CLASSIFICATION METRICS
-------------------------------------------------------------------------------------
  Accuracy:             76.99%
  Sensitivity:          77.29%
  Specificity:          76.73%
  Precision (PPV):      73.73%
  Neg Pred Value:       80.00%
  F1 Score:             75.47%

-------------------------------------------------------------------------------------
  TIME METRICS
-------------------------------------------------------------------------------------
  Total wall-clock:     7608.2s
  Avg per user:         16778.0ms
  Avg CDS train:        14981.3ms
  Avg CDS predict:      117.6ms
  Avg ML train:         1675.7ms
  Avg ML predict:       3.2ms

-------------------------------------------------------------------------------------
  MEMORY METRICS
-------------------------------------------------------------------------------------
  Peak memory:          24.87 MB
  Avg memory per fold:  20.89 MB

-------------------------------------------------------------------------------------
  COMPUTATIONAL COST (multiplications)
-------------------------------------------------------------------------------------
  Total multiplications:     337,950,791,848
  Avg per user:                  747,678,743
  CDS total:                         418,728
  ML training total:         337,943,464,320
  ML inference total:              6,908,800

-------------------------------------------------------------------------------------
  PER-CLASS BREAKDOWN
-------------------------------------------------------------------------------------
  Class   1 (Healthy     ): 188/245 (76.7%)
  Class   2 (Disease-2   ): 33/44 (75.0%)
  Class   3 (Disease-3   ): 15/15 (100.0%)
  Class   4 (Disease-4   ): 13/15 (86.7%)
  Class   5 (Disease-5   ): 11/13 (84.6%)
  Class   6 (Disease-6   ): 17/25 (68.0%)
  Class   7 (Disease-7   ): 2/3 (66.7%)
  Class   8 (Disease-8   ): 2/2 (100.0%)
  Class   9 (Disease-9   ): 8/9 (88.9%)
  Class  10 (Disease-10  ): 39/50 (78.0%)
  Class  14 (Disease-14  ): 4/4 (100.0%)
  Class  15 (Disease-15  ): 5/5 (100.0%)
  Class  16 (Disease-16  ): 11/22 (50.0%)

-------------------------------------------------------------------------------------
  MISCLASSIFICATION TRACE (104 errors)
-------------------------------------------------------------------------------------
    User    True    Pred  Source                   Time_ms   Mem_MB         Mults
  ──────  ──────  ──────  ──────────────────────  ────────  ───────  ────────────
       9     D10       H  AFG-ANN-SCREEN             22879    22.23  1,374,669,574
      21       H      D2  AFG-CDS-ALARM               6288    22.19   989,767,714
      34      D4       H  AFG-ANN-SCREEN              6338    22.24  1,319,683,654
      37     D10       H  AFG-CDS-HEALTHY             5145    17.07         1,269
      39      D6       H  AFG-ANN-OVERRIDE            5719    22.03  1,017,260,269
      43       H      D2  AFG-CDS-ALARM               5992    22.00   604,865,749
      50       H      D2  AFG-CDS-ALARM               5280    22.00   604,865,794
      53     D16       H  AFG-ANN-OVERRIDE            5248    21.97   604,865,734
      54     D16       H  AFG-ANN-SCREEN              5200    22.21   604,866,679
      55      D6       H  AFG-ANN-SCREEN              5902    22.22  1,429,655,494
      59       H      D2  AFG-CDS-ALARM               6166    22.20   604,866,529
      61      D5       H  AFG-CDS-HEALTHY             4859    17.07         1,269
      68      D6       H  AFG-CDS-HEALTHY            19920    17.26         1,269
      71     D16       H  AFG-CDS-HEALTHY            17274    17.07         1,269
      72       H      D2  AFG-CDS-ALARM              19702    22.21   659,852,494
      77      D2       H  AFG-CDS-HEALTHY            17833    17.07         1,269
      82      D2       H  AFG-ANN-SCREEN             20148    22.21   632,359,654
      85      D9       H  AFG-ANN-OVERRIDE            5947    21.96   604,865,734
      90       H      D3  AFG-CDS-ALARM               5396    22.19   632,359,414
      98       H      D2  AFG-CDS-ALARM               5256    22.11   632,358,994
      99       H      D2  AFG-CDS-ALARM               5371    22.05   632,358,799
     100      D4       H  AFG-ANN-SCREEN              5443    22.21   632,359,654
     104      D6       H  AFG-CDS-HEALTHY             5236    17.07         1,254
     109       H      D2  AFG-CDS-ALARM               5495    22.03   577,372,864
     110       H      D2  AFG-CDS-ALARM               7123    22.22  1,484,641,249
     114      D6       H  AFG-CDS-HEALTHY             5216    17.07         1,269
     116     D16       H  AFG-ANN-OVERRIDE           16158    22.14   577,373,194
     126       H      D2  AFG-CDS-ALARM              11855    22.18  1,017,260,569
     129       H      D2  AFG-CDS-ALARM               6091    22.15   989,767,504
     133       H      D2  AFG-CDS-ALARM               4803    22.09   412,415,254
     134     D10       H  AFG-CDS-HEALTHY             5125    17.14         1,269
     136       H      D2  AFG-CDS-ALARM               4907    22.21   494,894,734
     137     D10       H  AFG-ANN-SCREEN              5304    22.20   494,894,839
     138       H      D6  AFG-CDS-ALARM               5666    22.22   494,894,869
     144     D10       H  AFG-CDS-HEALTHY             4898    17.07         1,269
     152       H      D2  AFG-CDS-ALARM               5265    22.20   934,782,034
     154     D16       H  AFG-CDS-HEALTHY             5525    17.08         1,269
     157      D2       H  AFG-ANN-SCREEN              5534    22.21   934,782,199
     160       H      D2  AFG-CDS-ALARM               5417    21.98   989,767,174
     162       H      D2  AFG-CDS-ALARM               6167    22.21  1,319,683,459
     170       H      D2  AFG-CDS-ALARM               6284    22.22   989,768,074
     172       H      D2  AFG-CDS-ALARM               5789    22.22  1,319,683,549
     178       H      D2  AFG-CDS-ALARM              21593    22.22  1,319,683,504
     179      D2       H  AFG-ANN-SCREEN             22041    22.21  1,319,683,654
     181     D16       H  AFG-CDS-HEALTHY            15416    17.07         1,254
     182       H      D2  AFG-CDS-ALARM              17837    22.19   494,894,689
     186      D2       H  AFG-ANN-SCREEN             21586    22.23  1,402,162,534
     190       H      D2  AFG-CDS-ALARM              23387    22.18  1,237,204,099
     198     D16       H  AFG-ANN-OVERRIDE            5896    21.95  1,319,682,709
