=====================================================================================
  RESOURCE ANALYSIS: AlarmRefine(ANN)
=====================================================================================
  Timestamp:            2026-06-04 14:50:06
  Users evaluated:      452

-------------------------------------------------------------------------------------
  CLASSIFICATION METRICS
-------------------------------------------------------------------------------------
  Accuracy:             76.55%
  Sensitivity:          75.36%
  Specificity:          77.55%
  Precision (PPV):      73.93%
  Neg Pred Value:       78.84%
  F1 Score:             74.64%

-------------------------------------------------------------------------------------
  TIME METRICS
-------------------------------------------------------------------------------------
  Total wall-clock:     7811.6s
  Avg per user:         17228.2ms
  Avg CDS train:        15378.8ms
  Avg CDS predict:      119.6ms
  Avg ML train:         1722.8ms
  Avg ML predict:       3.3ms

-------------------------------------------------------------------------------------
  MEMORY METRICS
-------------------------------------------------------------------------------------
  Peak memory:          24.82 MB
  Avg memory per fold:  20.89 MB

-------------------------------------------------------------------------------------
  COMPUTATIONAL COST (multiplications)
-------------------------------------------------------------------------------------
  Total multiplications:     337,950,791,848
  Avg per user:                  747,678,743
  CDS total:                         418,728
  ML training total:         337,943,464,320
  ML inference total:              6,908,800

-------------------------------------------------------------------------------------
  PER-CLASS BREAKDOWN
-------------------------------------------------------------------------------------
  Class   1 (Healthy     ): 190/245 (77.6%)
  Class   2 (Disease-2   ): 33/44 (75.0%)
  Class   3 (Disease-3   ): 15/15 (100.0%)
  Class   4 (Disease-4   ): 13/15 (86.7%)
  Class   5 (Disease-5   ): 9/13 (69.2%)
  Class   6 (Disease-6   ): 16/25 (64.0%)
  Class   7 (Disease-7   ): 2/3 (66.7%)
  Class   8 (Disease-8   ): 2/2 (100.0%)
  Class   9 (Disease-9   ): 8/9 (88.9%)
  Class  10 (Disease-10  ): 39/50 (78.0%)
  Class  14 (Disease-14  ): 4/4 (100.0%)
  Class  15 (Disease-15  ): 5/5 (100.0%)
  Class  16 (Disease-16  ): 10/22 (45.5%)

-------------------------------------------------------------------------------------
  MISCLASSIFICATION TRACE (106 errors)
-------------------------------------------------------------------------------------
    User    True    Pred  Source                   Time_ms   Mem_MB         Mults
  ──────  ──────  ──────  ──────────────────────  ────────  ───────  ────────────
       9     D10       H  AREF-ANN-SCREEN            23453    22.23  1,374,669,574
      21       H      D2  AREF-CDS-ALARM             44587    22.19   989,767,714
      34      D4       H  AREF-ANN-SCREEN             6145    22.23  1,319,683,654
      37     D10       H  AREF-CDS-HEALTHY            5127    17.07         1,269
      39      D6       H  AREF-ANN-OVERRIDE           5763    22.03  1,017,260,269
      43       H      D2  AREF-CDS-ALARM              5780    21.99   604,865,749
      46      D5       H  AREF-ANN-OVERRIDE           5478    22.15   632,359,159
      50       H      D2  AREF-CDS-ALARM              5405    22.00   604,865,794
      53     D16       H  AREF-ANN-OVERRIDE           5501    21.97   604,865,734
      54     D16       H  AREF-ANN-SCREEN             5425    22.21   604,866,679
      55      D6       H  AREF-ANN-SCREEN             5983    22.23  1,429,655,494
      59       H      D2  AREF-CDS-ALARM              5204    22.20   604,866,529
      61      D5       H  AREF-CDS-HEALTHY            5196    17.07         1,269
      68      D6       H  AREF-CDS-HEALTHY           19339    17.26         1,269
      71     D16       H  AREF-CDS-HEALTHY           17775    17.07         1,269
      72       H      D2  AREF-CDS-ALARM             19989    22.21   659,852,494
      77      D2       H  AREF-CDS-HEALTHY           17671    17.07         1,269
      82      D2       H  AREF-ANN-SCREEN            20832    22.21   632,359,654
      84      D6       H  AREF-ANN-OVERRIDE         269967    22.19   632,359,234
      85      D9       H  AREF-ANN-OVERRIDE           5835    21.96   604,865,734
      90       H      D3  AREF-CDS-ALARM              5705    22.19   632,359,414
      98       H      D2  AREF-CDS-ALARM              5554    22.11   632,358,994
      99       H      D2  AREF-CDS-ALARM              5381    22.05   632,358,799
     100      D4       H  AREF-ANN-SCREEN             5839    22.21   632,359,654
     104      D6       H  AREF-CDS-HEALTHY            5441    17.07         1,254
     109       H      D2  AREF-CDS-ALARM              5127    22.03   577,372,864
     110       H      D2  AREF-CDS-ALARM              7198    22.22  1,484,641,249
     114      D6       H  AREF-CDS-HEALTHY            6915    17.07         1,269
