=====================================================================================
  RESOURCE ANALYSIS: Cascade(ANN)
=====================================================================================
  Timestamp:            2026-06-03 23:47:06
  Users evaluated:      452

-------------------------------------------------------------------------------------
  CLASSIFICATION METRICS
-------------------------------------------------------------------------------------
  Accuracy:             74.78%
  Sensitivity:          82.13%
  Specificity:          68.57%
  Precision (PPV):      68.83%
  Neg Pred Value:       81.95%
  F1 Score:             74.89%

-------------------------------------------------------------------------------------
  TIME METRICS
-------------------------------------------------------------------------------------
  Total wall-clock:     879.9s
  Avg per user:         1916.9ms
  Avg CDS train:        1815.3ms
  Avg CDS predict:      15.1ms
  Avg ML train:         86.0ms
  Avg ML predict:       0.5ms

-------------------------------------------------------------------------------------
  MEMORY METRICS
-------------------------------------------------------------------------------------
  Peak memory:          23.04 MB
  Avg memory per fold:  18.78 MB

-------------------------------------------------------------------------------------
  COMPUTATIONAL COST (multiplications)
-------------------------------------------------------------------------------------
  Total multiplications:     103,678,402,888
  Avg per user:                  229,376,998
  CDS total:                         418,728
  ML training total:         103,675,952,160
  ML inference total:              2,032,000

-------------------------------------------------------------------------------------
  PER-CLASS BREAKDOWN
-------------------------------------------------------------------------------------
  Class   1 (Healthy     ): 168/245 (68.6%)
  Class   2 (Disease-2   ): 35/44 (79.5%)
  Class   3 (Disease-3   ): 15/15 (100.0%)
  Class   4 (Disease-4   ): 13/15 (86.7%)
  Class   5 (Disease-5   ): 12/13 (92.3%)
  Class   6 (Disease-6   ): 18/25 (72.0%)
  Class   7 (Disease-7   ): 2/3 (66.7%)
  Class   8 (Disease-8   ): 2/2 (100.0%)
  Class   9 (Disease-9   ): 9/9 (100.0%)
  Class  10 (Disease-10  ): 40/50 (80.0%)
  Class  14 (Disease-14  ): 4/4 (100.0%)
  Class  15 (Disease-15  ): 5/5 (100.0%)
  Class  16 (Disease-16  ): 15/22 (68.2%)

-------------------------------------------------------------------------------------
  MISCLASSIFICATION TRACE (114 errors)
-------------------------------------------------------------------------------------
    User    True    Pred  Source                   Time_ms   Mem_MB         Mults
  ──────  ──────  ──────  ──────────────────────  ────────  ───────  ────────────
       8       H      D2  CDS-ALARM                   1687    17.54           504
       9     D10       H  ANN                         2219    22.87  1,374,669,574
      21       H      D2  CDS-ALARM                   1998    17.68           834
      34      D4       H  ANN                         3384    22.98  1,319,683,654
      37     D10       H  CDS-HEALTHY                 1883    17.71         1,269
      38       H      D2  CDS-ALARM                   2905    17.70           474
      43       H      D2  CDS-ALARM                   1758    17.42           309
      50       H      D2  CDS-ALARM                   1724    17.44           354
      54     D16       H  ANN                         2067    23.02   604,866,679
      55      D6       H  ANN                         2304    22.87  1,429,655,494
      59       H      D2  CDS-ALARM                   1880    17.70         1,089
      61      D5       H  CDS-HEALTHY                 1818    17.72         1,269
      68      D6       H  CDS-HEALTHY                 1770    17.72         1,269
      71     D16       H  CDS-HEALTHY                 1748    17.72         1,269
      72       H      D2  CDS-ALARM                   1764    17.71         1,134
      77      D2       H  CDS-HEALTHY                 1791    17.77         1,269
      82      D2       H  ANN                         2041    22.86   632,359,654
      90       H      D3  CDS-ALARM                   1821    17.69         1,014
      98       H      D2  CDS-ALARM                   1924    17.59           594
      99       H      D2  CDS-ALARM                   2912    17.49           399
     100      D4       H  ANN                         3382    22.86   632,359,654
     101       H      D2  CDS-ALARM                   3050    17.65           699
     102       H      D2  CDS-ALARM                   2967    17.52           294
     103       H      D2  CDS-ALARM                   2803    17.42           324
     104      D6       H  CDS-HEALTHY                 2832    17.72         1,254
     109       H      D2  CDS-ALARM                   2528    17.63           384
     110       H      D2  CDS-ALARM                   1761    17.71         1,089
     113       H      D2  CDS-ALARM                   1747    17.64           684
     114      D6       H  CDS-HEALTHY                 1743    17.71         1,269
     126       H      D2  CDS-ALARM                   1305    17.66           729
     129       H      D2  CDS-ALARM                    839    17.62           624
     133       H      D2  CDS-ALARM                   1712    17.56           534
     134     D10       H  CDS-HEALTHY                 1705    17.72         1,269
     136       H      D2  CDS-ALARM                   1792    17.88         1,134
     137     D10       H  ANN                         1914    22.84   494,894,839
