=====================================================================================
  RESOURCE ANALYSIS: Selector(CDS+RNN)
=====================================================================================
  Timestamp:            2026-06-04 04:39:52
  Users evaluated:      452

-------------------------------------------------------------------------------------
  CLASSIFICATION METRICS
-------------------------------------------------------------------------------------
  Accuracy:             72.35%
  Sensitivity:          83.09%
  Specificity:          63.27%
  Precision (PPV):      65.65%
  Neg Pred Value:       81.58%
  F1 Score:             73.35%

-------------------------------------------------------------------------------------
  TIME METRICS
-------------------------------------------------------------------------------------
  Total wall-clock:     2965.3s
  Avg per user:         6530.2ms
  Avg CDS train:        1723.4ms
  Avg CDS predict:      15.1ms
  Avg ML train:         4778.7ms
  Avg ML predict:       13.0ms

-------------------------------------------------------------------------------------
  MEMORY METRICS
-------------------------------------------------------------------------------------
  Peak memory:          22.74 MB
  Avg memory per fold:  22.50 MB

-------------------------------------------------------------------------------------
  COMPUTATIONAL COST (multiplications)
-------------------------------------------------------------------------------------
  Total multiplications:      87,290,640,648
  Avg per user:                  193,120,886
  CDS total:                         418,728
  ML training total:          87,123,443,412
  ML inference total:            166,778,508

-------------------------------------------------------------------------------------
  PER-CLASS BREAKDOWN
-------------------------------------------------------------------------------------
  Class   1 (Healthy     ): 155/245 (63.3%)
  Class   2 (Disease-2   ): 36/44 (81.8%)
  Class   3 (Disease-3   ): 15/15 (100.0%)
  Class   4 (Disease-4   ): 13/15 (86.7%)
  Class   5 (Disease-5   ): 12/13 (92.3%)
  Class   6 (Disease-6   ): 18/25 (72.0%)
  Class   7 (Disease-7   ): 2/3 (66.7%)
  Class   8 (Disease-8   ): 2/2 (100.0%)
  Class   9 (Disease-9   ): 9/9 (100.0%)
  Class  10 (Disease-10  ): 41/50 (82.0%)
  Class  14 (Disease-14  ): 4/4 (100.0%)
  Class  15 (Disease-15  ): 5/5 (100.0%)
  Class  16 (Disease-16  ): 15/22 (68.2%)

-------------------------------------------------------------------------------------
  MISCLASSIFICATION TRACE (125 errors)
-------------------------------------------------------------------------------------
    User    True    Pred  Source                   Time_ms   Mem_MB         Mults
  ──────  ──────  ──────  ──────────────────────  ────────  ───────  ────────────
       7       H     D10  SEL-RNN                     6381    22.57   193,121,214
       8       H      D2  SEL-CDS-ALARM               6534    22.39   193,120,464
       9     D10       H  SEL-RNN                     6350    22.58   193,121,214
      21       H      D2  SEL-CDS-ALARM               6519    22.53   193,120,794
      34      D4       H  SEL-RNN                     6807    22.58   193,121,214
      36       H      D2  SEL-RNN                     6547    22.58   193,121,214
      37     D10       H  SEL-CDS-HEALTHY             6483    22.57   193,121,229
      38       H      D2  SEL-CDS-ALARM               6567    22.39   193,120,434
      43       H      D2  SEL-CDS-ALARM               6448    22.28   193,120,269
      50       H      D2  SEL-CDS-ALARM               6957    22.29   193,120,314
      54     D16       H  SEL-RNN                     6577    22.58   193,121,199
      55      D6       H  SEL-RNN                     6380    22.58   193,121,214
      59       H      D2  SEL-CDS-ALARM               6489    22.55   193,121,049
      61      D5       H  SEL-CDS-HEALTHY             6384    22.57   193,121,229
      68      D6       H  SEL-CDS-HEALTHY             6388    22.58   193,121,229
      71     D16       H  SEL-CDS-HEALTHY             6466    22.57   193,121,229
      72       H      D2  SEL-CDS-ALARM               6537    22.57   193,121,094
      77      D2       H  SEL-CDS-HEALTHY             6567    22.57   193,121,229
      79       H     D16  SEL-RNN                     6395    22.57   193,121,214
      90       H      D3  SEL-CDS-ALARM               6601    22.71   193,120,974
      98       H      D2  SEL-CDS-ALARM               6494    22.44   193,120,554
      99       H      D2  SEL-CDS-ALARM               6430    22.34   193,120,359
     100      D4       H  SEL-RNN                     6467    22.57   193,121,214
     101       H      D2  SEL-CDS-ALARM               6434    22.50   193,120,659
     102       H      D2  SEL-CDS-ALARM               6509    22.53   193,120,254
     103       H      D2  SEL-CDS-ALARM               6496    22.28   193,120,284
     104      D6       H  SEL-CDS-HEALTHY             6393    22.58   193,121,214
     107       H     D10  SEL-RNN                     6400    22.58   193,121,214
     109       H      D2  SEL-CDS-ALARM               6548    22.33   193,120,344
     110       H      D2  SEL-CDS-ALARM               6475    22.73   193,121,049
     113       H      D2  SEL-CDS-ALARM               6580    22.50   193,120,644
     114      D6       H  SEL-CDS-HEALTHY             6481    22.57   193,121,229
     126       H      D2  SEL-CDS-ALARM               6455    22.52   193,120,689
     129       H      D2  SEL-CDS-ALARM               6513    22.48   193,120,584
     133       H      D2  SEL-CDS-ALARM               6473    22.47   193,120,494
