=====================================================================================
  RESOURCE ANALYSIS: TGLLNet-T1-only
=====================================================================================
  Timestamp:            2026-06-08 09:50:34
  Users evaluated:      452

-------------------------------------------------------------------------------------
  CLASSIFICATION METRICS
-------------------------------------------------------------------------------------
  Accuracy:             71.90%
  Sensitivity:          44.93%
  Specificity:          94.69%
  Precision (PPV):      87.74%
  Neg Pred Value:       67.05%
  F1 Score:             59.42%

-------------------------------------------------------------------------------------
  TIME METRICS
-------------------------------------------------------------------------------------
  Total wall-clock:     936.2s
  Avg per user:         2065.9ms
  Avg CDS train:        0.0ms
  Avg CDS predict:      0.0ms
  Avg ML train:         1912.1ms
  Avg ML predict:       8.2ms

-------------------------------------------------------------------------------------
  MEMORY METRICS
-------------------------------------------------------------------------------------
  Peak memory:          6.61 MB
  Avg memory per fold:  6.42 MB

-------------------------------------------------------------------------------------
  COMPUTATIONAL COST (multiplications)
-------------------------------------------------------------------------------------
  Total multiplications:     452,499,130,720
  Avg per user:                1,001,104,272
  CDS total:                               0
  ML training total:         452,489,570,016
  ML inference total:              9,560,704

-------------------------------------------------------------------------------------
  PER-CLASS BREAKDOWN
-------------------------------------------------------------------------------------
  Class   1 (Healthy     ): 232/245 (94.7%)
  Class   2 (Disease-2   ): 23/44 (52.3%)
  Class   3 (Disease-3   ): 13/15 (86.7%)
  Class   4 (Disease-4   ): 4/15 (26.7%)
  Class   5 (Disease-5   ): 4/13 (30.8%)
  Class   6 (Disease-6   ): 1/25 (4.0%)
  Class   7 (Disease-7   ): 1/3 (33.3%)
  Class   8 (Disease-8   ): 0/2 (0.0%)
  Class   9 (Disease-9   ): 8/9 (88.9%)
  Class  10 (Disease-10  ): 31/50 (62.0%)
  Class  14 (Disease-14  ): 3/4 (75.0%)
  Class  15 (Disease-15  ): 2/5 (40.0%)
  Class  16 (Disease-16  ): 3/22 (13.6%)

-------------------------------------------------------------------------------------
  MISCLASSIFICATION TRACE (127 errors)
-------------------------------------------------------------------------------------
    User    True    Pred  Source                   Time_ms   Mem_MB         Mults
  ──────  ──────  ──────  ──────────────────────  ────────  ───────  ────────────
       0      D8       H  T1-ANN                       619     6.61   858,580,832
       1      D6       H  T1-ANN                       534     6.43   829,962,176
       4      D7       H  T1-ANN                       565     6.43   858,580,832
       5     D14       H  T1-ANN                       602     6.43   887,199,488
      10      D3       H  T1-ANN                       665     6.43   915,818,144
      13      D6       H  T1-ANN                       651     6.42   915,818,144
      25     D16       H  T1-ANN                       546     6.42   915,818,144
      30      D6       H  T1-ANN                       575     6.42   915,818,144
      34      D4       H  T1-ANN                       579     6.42   944,436,800
      36       H      D3  T1-ANN                       523     6.42   829,962,176
      37     D10       H  T1-ANN                       550     6.42   829,962,176
      39      D6       H  T1-ANN                       542     6.42   858,580,832
      43       H      D2  T1-ANN                       605     6.42   829,962,176
      45      D4       H  T1-ANN                       487     6.42   829,962,176
      46      D5       H  T1-ANN                       497     6.42   858,580,832
      48      D6       H  T1-ANN                       536     6.42   858,580,832
      52     D10       H  T1-ANN                       509     6.42   858,580,832
      53     D16       H  T1-ANN                       524     6.42   887,199,488
      55      D6       H  T1-ANN                       527     6.41   858,580,832
      58      D6       H  T1-ANN                       495     6.41   858,580,832
      61      D5       H  T1-ANN                       542     6.41   829,962,176
      66      D2       H  T1-ANN                       550     6.41   858,580,832
      68      D6       H  T1-ANN                       482     6.41   801,343,520
      70      D6       H  T1-ANN                       554     6.41   829,962,176
      71     D16       H  T1-ANN                       526     6.41   858,580,832
      75     D10       H  T1-ANN                       552     6.41   829,962,176
      77      D2       H  T1-ANN                       531     6.41   829,962,176
      82      D2       H  T1-ANN                       538     6.41   858,580,832
      83      D4       H  T1-ANN                       607     6.41   973,055,456
      84      D6       H  T1-ANN                       681     6.41  1,087,530,080
      85      D9       H  T1-ANN                       557     6.41   973,055,456
      91      D4       H  T1-ANN                       626     6.41  1,116,148,736
      93      D5       H  T1-ANN                       627     6.41  1,087,530,080
      99       H      D2  T1-ANN                       643     6.41  1,116,148,736
     100      D4       H  T1-ANN                       632     6.41  1,116,148,736
