=====================================================================================
  RESOURCE ANALYSIS: TGLLNet-T123+CDS
=====================================================================================
  Timestamp:            2026-06-05 19:30:25
  Users evaluated:      452

-------------------------------------------------------------------------------------
  CLASSIFICATION METRICS
-------------------------------------------------------------------------------------
  Accuracy:             75.22%
  Sensitivity:          82.13%
  Specificity:          69.39%
  Precision (PPV):      69.39%
  Neg Pred Value:       82.13%
  F1 Score:             75.22%

-------------------------------------------------------------------------------------
  TIME METRICS
-------------------------------------------------------------------------------------
  Total wall-clock:     15512.0s
  Avg per user:         34274.5ms
  Avg CDS train:        32433.1ms
  Avg CDS predict:      90.8ms
  Avg ML train:         990.6ms
  Avg ML predict:       3.2ms

-------------------------------------------------------------------------------------
  MEMORY METRICS
-------------------------------------------------------------------------------------
  Peak memory:          31.35 MB
  Avg memory per fold:  25.72 MB

-------------------------------------------------------------------------------------
  COMPUTATIONAL COST (multiplications)
-------------------------------------------------------------------------------------
  Total multiplications:     826,536,387,368
  Avg per user:                1,828,620,326
  CDS total:                         418,728
  ML training total:         826,514,578,560
  ML inference total:             21,390,080

-------------------------------------------------------------------------------------
  PER-CLASS BREAKDOWN
-------------------------------------------------------------------------------------
  Class   1 (Healthy     ): 170/245 (69.4%)
  Class   2 (Disease-2   ): 35/44 (79.5%)
  Class   3 (Disease-3   ): 15/15 (100.0%)
  Class   4 (Disease-4   ): 14/15 (93.3%)
  Class   5 (Disease-5   ): 12/13 (92.3%)
  Class   6 (Disease-6   ): 17/25 (68.0%)
  Class   7 (Disease-7   ): 2/3 (66.7%)
  Class   8 (Disease-8   ): 2/2 (100.0%)
  Class   9 (Disease-9   ): 9/9 (100.0%)
  Class  10 (Disease-10  ): 40/50 (80.0%)
  Class  14 (Disease-14  ): 4/4 (100.0%)
  Class  15 (Disease-15  ): 5/5 (100.0%)
  Class  16 (Disease-16  ): 15/22 (68.2%)

-------------------------------------------------------------------------------------
  MISCLASSIFICATION TRACE (112 errors)
-------------------------------------------------------------------------------------
    User    True    Pred  Source                   Time_ms   Mem_MB         Mults
  ──────  ──────  ──────  ──────────────────────  ────────  ───────  ────────────
       8       H      D2  T123-CDS-ALARM              6138    28.51  3,404,860,856
       9     D10       H  T123-ANN-SCREEN             6026    28.65  3,575,101,478
      13      D6       H  T123-TRIPLE-OVERRIDE        6172    28.53  3,404,860,931
      21       H      D2  T123-CDS-ALARM              6434    28.61  3,404,861,186
      34      D4       H  T123-ANN-SCREEN             5644    28.65  2,298,302,438
      37     D10       H  T123-CDS-HEALTHY            4649    17.07         1,269
      38       H      D2  T123-CDS-ALARM              5768    28.50  2,468,541,530
      43       H      D2  T123-CDS-ALARM             23575    28.43  3,404,860,661
      50       H      D2  T123-CDS-ALARM             19849    28.43  3,404,860,706
      55      D6       H  T123-ANN-SCREEN            19644    28.65  3,404,861,606
      59       H      D2  T123-CDS-ALARM             19525    28.62  2,468,542,145
      61      D5       H  T123-CDS-HEALTHY            4945    17.07         1,269
      68      D6       H  T123-CDS-HEALTHY            5002    17.26         1,269
      71     D16       H  T123-CDS-HEALTHY            4850    17.07         1,269
      72       H      D2  T123-CDS-ALARM              5927    28.63  2,383,422,254
      77      D2       H  T123-CDS-HEALTHY            5039    17.07         1,269
      82      D2       H  T123-ANN-SCREEN             5702    28.64  2,383,422,374
      90       H      D3  T123-CDS-ALARM              6031    28.62  2,298,302,198
      98       H      D2  T123-CDS-ALARM              6261    28.53  2,468,541,650
      99       H      D2  T123-CDS-ALARM              5880    28.46  2,468,541,455
     101       H      D2  T123-CDS-ALARM              6097    28.71  2,383,421,819
     102       H      D2  T123-CDS-ALARM              7194    28.51  2,383,421,414
     103       H      D2  T123-CDS-ALARM             20266    28.43  2,383,421,444
     104      D6       H  T123-CDS-HEALTHY           18604    17.08         1,254
     109       H      D2  T123-CDS-ALARM             15595    28.45  1,276,862,336
     110       H      D2  T123-CDS-ALARM              6272    28.63  2,468,542,145
     113       H      D2  T123-CDS-ALARM              6426    28.58  2,553,661,676
     114      D6       H  T123-CDS-HEALTHY            4798    17.07         1,269
