=====================================================================================
  RESOURCE ANALYSIS: TGLLNet-T1+CDS
=====================================================================================
  Timestamp:            2026-06-05 19:25:04
  Users evaluated:      452

-------------------------------------------------------------------------------------
  CLASSIFICATION METRICS
-------------------------------------------------------------------------------------
  Accuracy:             76.99%
  Sensitivity:          79.23%
  Specificity:          75.10%
  Precision (PPV):      72.89%
  Neg Pred Value:       81.06%
  F1 Score:             75.93%

-------------------------------------------------------------------------------------
  TIME METRICS
-------------------------------------------------------------------------------------
  Total wall-clock:     15230.7s
  Avg per user:         33654.0ms
  Avg CDS train:        32615.1ms
  Avg CDS predict:      96.2ms
  Avg ML train:         864.4ms
  Avg ML predict:       3.4ms

-------------------------------------------------------------------------------------
  MEMORY METRICS
-------------------------------------------------------------------------------------
  Peak memory:          26.22 MB
  Avg memory per fold:  21.85 MB

-------------------------------------------------------------------------------------
  COMPUTATIONAL COST (multiplications)
-------------------------------------------------------------------------------------
  Total multiplications:     344,232,804,776
  Avg per user:                  761,577,002
  CDS total:                         418,728
  ML training total:         344,225,194,368
  ML inference total:              7,191,680

-------------------------------------------------------------------------------------
  PER-CLASS BREAKDOWN
-------------------------------------------------------------------------------------
  Class   1 (Healthy     ): 184/245 (75.1%)
  Class   2 (Disease-2   ): 33/44 (75.0%)
  Class   3 (Disease-3   ): 15/15 (100.0%)
  Class   4 (Disease-4   ): 13/15 (86.7%)
  Class   5 (Disease-5   ): 10/13 (76.9%)
  Class   6 (Disease-6   ): 18/25 (72.0%)
  Class   7 (Disease-7   ): 2/3 (66.7%)
  Class   8 (Disease-8   ): 2/2 (100.0%)
  Class   9 (Disease-9   ): 9/9 (100.0%)
  Class  10 (Disease-10  ): 40/50 (80.0%)
  Class  14 (Disease-14  ): 4/4 (100.0%)
  Class  15 (Disease-15  ): 5/5 (100.0%)
  Class  16 (Disease-16  ): 13/22 (59.1%)

-------------------------------------------------------------------------------------
  MISCLASSIFICATION TRACE (104 errors)
-------------------------------------------------------------------------------------
    User    True    Pred  Source                   Time_ms   Mem_MB         Mults
  ──────  ──────  ──────  ──────────────────────  ────────  ───────  ────────────
      21       H      D2  T1-CDS-ALARM                5187    23.47   915,818,978
      34      D4       H  T1-ANN-SCREEN               5415    23.51   944,438,054
      36       H      D3  T1-ANN-SCREEN               5310    23.50   829,963,430
      37     D10       H  T1-CDS-HEALTHY              4896    17.07         1,269
      43       H      D2  T1-CDS-ALARM                5222    23.28   829,962,485
      50       H      D2  T1-CDS-ALARM               15982    23.29   829,962,530
      53     D16       H  T1-ANN-OVERRIDE            17509    23.26   887,199,782
      55      D6       H  T1-ANN-SCREEN              17203    23.50   858,582,086
      59       H      D2  T1-CDS-ALARM               16841    23.49   829,963,265
      61      D5       H  T1-CDS-HEALTHY             15084    17.07         1,269
      68      D6       H  T1-CDS-HEALTHY             15943    17.26         1,269
      71     D16       H  T1-CDS-HEALTHY             25602    17.07         1,269
      72       H      D2  T1-CDS-ALARM                5369    23.50   829,963,310
      77      D2       H  T1-CDS-HEALTHY              4750    17.07         1,269
      82      D2       H  T1-ANN-SCREEN               5649    23.50   858,582,086
      90       H      D3  T1-CDS-ALARM                5429    23.49  1,116,149,750
      98       H      D2  T1-CDS-ALARM                5441    23.39  1,058,912,018
      99       H      D2  T1-CDS-ALARM                5658    23.33  1,116,149,135
     100      D4       H  T1-ANN-SCREEN               5568    23.49  1,116,149,990
     104      D6       H  T1-CDS-HEALTHY              5073    17.07         1,254
     109       H      D2  T1-CDS-ALARM                5444    23.32  1,202,005,088
     110       H      D2  T1-CDS-ALARM                5584    23.49  1,173,387,137
     113       H      D2  T1-CDS-ALARM                5451    23.44  1,173,386,732
     114      D6       H  T1-CDS-HEALTHY              4842    17.07         1,269
     126       H      D2  T1-CDS-ALARM                5632    23.46  1,173,386,777
     129       H      D2  T1-CDS-ALARM                5693    23.43  1,173,386,672
     133       H      D2  T1-CDS-ALARM               14525    23.37  1,202,005,238
     134     D10       H  T1-CDS-HEALTHY             13134    17.14         1,269
     136       H      D2  T1-CDS-ALARM               15493    23.50  1,173,387,182
