=====================================================================================
  RESOURCE ANALYSIS: TripleCascade
=====================================================================================
  Timestamp:            2026-06-04 18:40:16
  Users evaluated:      452

-------------------------------------------------------------------------------------
  CLASSIFICATION METRICS
-------------------------------------------------------------------------------------
  Accuracy:             76.77%
  Sensitivity:          74.88%
  Specificity:          78.37%
  Precision (PPV):      74.52%
  Neg Pred Value:       78.69%
  F1 Score:             74.70%

-------------------------------------------------------------------------------------
  TIME METRICS
-------------------------------------------------------------------------------------
  Total wall-clock:     21488.2s
  Avg per user:         47490.9ms
  Avg CDS train:        13483.2ms
  Avg CDS predict:      102.5ms
  Avg ML train:         33879.5ms
  Avg ML predict:       22.1ms

-------------------------------------------------------------------------------------
  MEMORY METRICS
-------------------------------------------------------------------------------------
  Peak memory:          24.86 MB
  Avg memory per fold:  20.94 MB

-------------------------------------------------------------------------------------
  COMPUTATIONAL COST (multiplications)
-------------------------------------------------------------------------------------
  Total multiplications:     357,262,787,848
  Avg per user:                  790,404,398
  CDS total:                         418,728
  ML training total:         357,218,562,420
  ML inference total:             43,806,700

-------------------------------------------------------------------------------------
  PER-CLASS BREAKDOWN
-------------------------------------------------------------------------------------
  Class   1 (Healthy     ): 192/245 (78.4%)
  Class   2 (Disease-2   ): 32/44 (72.7%)
  Class   3 (Disease-3   ): 15/15 (100.0%)
  Class   4 (Disease-4   ): 13/15 (86.7%)
  Class   5 (Disease-5   ): 9/13 (69.2%)
  Class   6 (Disease-6   ): 16/25 (64.0%)
  Class   7 (Disease-7   ): 2/3 (66.7%)
  Class   8 (Disease-8   ): 2/2 (100.0%)
  Class   9 (Disease-9   ): 8/9 (88.9%)
  Class  10 (Disease-10  ): 39/50 (78.0%)
  Class  14 (Disease-14  ): 4/4 (100.0%)
  Class  15 (Disease-15  ): 5/5 (100.0%)
  Class  16 (Disease-16  ): 10/22 (45.5%)

-------------------------------------------------------------------------------------
  MISCLASSIFICATION TRACE (105 errors)
-------------------------------------------------------------------------------------
    User    True    Pred  Source                   Time_ms   Mem_MB         Mults
  ──────  ──────  ──────  ──────────────────────  ────────  ───────  ────────────
       9     D10       H  TRI-MAJORITY-HEALTHY       77289    22.47  1,567,789,534
      21       H      D2  TRI-CDS-ALARM               5605    22.18   989,767,714
      34      D4       H  TRI-MAJORITY-HEALTHY      343619    22.48  1,512,803,614
      37     D10       H  TRI-CDS-HEALTHY             4966    17.07         1,269
      39      D6       H  TRI-ANN-VETO                5545    22.04  1,017,260,269
      43       H      D2  TRI-CDS-ALARM               5249    22.00   604,865,749
      46      D5       H  TRI-ANN-VETO                5561    22.16   632,359,159
      50       H      D2  TRI-CDS-ALARM               5455    22.00   604,865,794
      53     D16       H  TRI-ANN-VETO                5320    21.97   604,865,734
      54     D16       H  TRI-MAJORITY-HEALTHY       27345    22.45   797,986,639
      55      D6       H  TRI-MAJORITY-HEALTHY       50807    22.47  1,622,775,454
      59       H      D2  TRI-CDS-ALARM              19341    22.20   604,866,529
      61      D5       H  TRI-CDS-HEALTHY            19469    17.07         1,269
      68      D6       H  TRI-CDS-HEALTHY             5162    17.26         1,269
      71     D16       H  TRI-CDS-HEALTHY             4784    17.07         1,269
      72       H      D2  TRI-CDS-ALARM               5283    22.21   659,852,494
      77      D2       H  TRI-CDS-HEALTHY             5467    17.07         1,269
      82      D2       H  TRI-MAJORITY-HEALTHY       26529    22.45   825,479,614
      84      D6       H  TRI-ANN-VETO                5312    22.19   632,359,234
      85      D9       H  TRI-ANN-VETO                5185    21.96   604,865,734
      90       H      D3  TRI-CDS-ALARM              15631    22.19   632,359,414
      98       H      D2  TRI-CDS-ALARM              18899    22.11   632,358,994
      99       H      D2  TRI-CDS-ALARM              18883    22.05   632,358,799
     100      D4       H  TRI-MAJORITY-HEALTHY       53972    22.45   825,479,614
     104      D6       H  TRI-CDS-HEALTHY             5112    17.07         1,254
     109       H      D2  TRI-CDS-ALARM               5471    22.03   577,372,864
     110       H      D2  TRI-CDS-ALARM               5777    22.22  1,484,641,249
     114      D6       H  TRI-CDS-HEALTHY             5097    17.07         1,269
