Mode,Accuracy%,Sensitivity%,Specificity%,PPV%,NPV%,F1%,Total_Time_s,Avg_Time_Per_User_ms,Avg_CDS_Train_ms,Avg_CDS_Predict_ms,Avg_ML_Train_ms,Avg_ML_Predict_ms,Peak_Memory_MB,Avg_Memory_MB,Total_Multiplications,Avg_Mults_Per_User,CDS_Mults,ML_Train_Mults,ML_Infer_Mults,N_Users
ANN-only,70.58,42.51,94.29,86.27,66.00,56.96,242.8,536.3,0.0,0.0,533.7,2.6,5.31,5.13,449409108800,994267940,0,449399924160,9184640,452
RNN-only,67.48,55.56,77.55,67.65,67.38,61.01,2274.0,5030.0,0.0,0.0,5016.6,13.4,4.87,4.86,87290221920,193119960,0,87123443412,166778508,452
CDS-only,74.56,80.19,69.80,69.17,80.66,74.27,976.3,2130.9,2114.8,16.1,0.0,0.0,20.55,17.65,418728,926,418728,0,0,452
Cascade(ANN),74.78,82.13,68.57,68.83,81.95,74.89,879.9,1916.9,1815.3,15.1,86.0,0.5,23.04,18.78,103678402888,229376998,418728,103675952160,2032000,452
Cascade(RNN),72.35,83.09,63.27,65.65,81.58,73.35,1465.2,3211.0,1986.8,17.0,1203.6,3.4,22.75,18.72,19312414728,42726581,418728,19275098100,36897900,452
Vote(CDS+ANN),74.56,80.19,69.80,69.17,80.66,74.27,1063.8,2322.1,1905.8,15.8,398.2,2.2,23.04,22.79,449409527528,994268866,418728,449399924160,9184640,452
Vote(CDS+RNN),74.56,80.19,69.80,69.17,80.66,74.27,2965.0,6529.7,1719.4,14.7,4782.6,13.0,22.75,22.50,87290640648,193120886,418728,87123443412,166778508,452
Confidence(CDS+ANN),74.56,80.19,69.80,69.17,80.66,74.27,990.6,2163.3,1732.6,14.7,413.9,2.0,23.05,22.79,449409527528,994268866,418728,449399924160,9184640,452
Confidence(CDS+RNN),74.56,80.19,69.80,69.17,80.66,74.27,2969.7,6540.2,1720.5,14.5,4792.2,13.0,22.76,22.50,87290640648,193120886,418728,87123443412,166778508,452
Stacked(CDS->ANN),59.51,22.71,90.61,67.14,58.12,33.94,1076.0,2352.5,1729.9,13.9,488.5,2.0,24.18,23.93,470617351848,1041188832,418728,470607603840,9329280,452
Stacked(CDS->RNN),40.04,64.25,19.59,40.30,39.34,49.53,3023.0,6658.2,1723.2,15.2,4788.6,13.0,23.85,23.60,88549561896,195906110,418728,88379579436,169563732,452
Selector(CDS+ANN),74.78,82.13,68.57,68.83,81.95,74.89,1047.8,2288.9,1725.6,14.4,546.8,2.0,23.04,22.79,449409527528,994268866,418728,449399924160,9184640,452
Selector(CDS+RNN),72.35,83.09,63.27,65.65,81.58,73.35,2965.3,6530.2,1723.4,15.1,4778.7,13.0,22.74,22.50,87290640648,193120886,418728,87123443412,166778508,452
